#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
domestic pigeon|Columba livia livia|Columbiformes|Columbidae|Columba|livia livia|676968|Avian
common wood pigeon|Columba palumbus|Columbiformes|Columbidae|Columba|palumbus|177103|Avian
pigeon|Columba sp.|Columbiformes|Columbidae|Columba|Unknown|177062|Avian
dove|Columbidae|Charadriiformes|Columbidae|Unknown|Unknown|177061|Avian
Inca dove|Columbina inca|Columbiformes|Columbidae|Columbina|inca|177162|Avian
plain-breasted ground-dove|Columbina minuta|Columbiformes|Columbidae|Columbina|minuta|177159|Avian
common ground-dove|Columbina passerina|Columbiformes|Columbidae|Columbina|passerina|177152|Avian
Picui ground dove|Columbina picui|Columbiformes|Columbidae|Columbina|picui|177160|Avian
ruddy ground-dove|Columbina talpacoti|Columbiformes|Columbidae|Columbina|talpacoti|177156|Avian
tropical pewee|Contopus cinereus|Passeriformes|Tyrannidae|Contopus|cinereus|559423|Avian
western wood-pewee|Contopus sordidulus|Passeriformes|Tyrannidae|Contopus|sordidulus|178360|Avian
eastern wood pewee|Contopus virens|Passeriformes|Tyrannidae|Contopus|virens|178359|Avian
white-rumped shama|Copsychus malabaricus|Passeriformes|Muscicapidae|Copsychus|malabaricus|179832|Avian
oriental magpie-robin|Copsychus saularis|Passeriformes|Muscicapidae|Copsychus|saularis|559432|Avian
black vulture|Coragyps atratus|Accipitriformes|Cathartidae|Coragyps|atratus|175272|Avian
magpie|Corvidae|Passeriformes|Corvidae|Unknown|Unknown|179665|Avian
American crow|Corvus brachyrhynchos|Passeriformes|Corvidae|Corvus|brachyrhynchos|179731|Avian
northwestern crow|Corvus caurinus|Passeriformes|Corvidae|Corvus|caurinus|179736|Avian
common raven|Corvus corax|Passeriformes|Corvidae|Corvus|corax|179725|Avian
hooded crow|Corvus cornix|Passeriformes|Corvidae|Corvus|cornix|179740|Avian
carrion crow|Corvus corone|Passeriformes|Corvidae|Corvus|corone|559494|Avian
rook|Corvus frugilegus|Passeriformes|Corvidae|Corvus|frugilegus|179738|Avian
large-billed crow|Corvus macrorhynchos|Passeriformes|Corvidae|Corvus|macrorhynchos|559503|Avian
fish crow|Corvus ossifragus|Passeriformes|Corvidae|Corvus|ossifragus|179737|Avian
crow|Corvus sp.|Passeriformes|Corvidae|Corvus|Unknown|179724|Avian
house crow|Corvus splendens|Passeriformes|Corvidae|Corvus|splendens|559513|Avian
pileated finch|Coryphospingus pileatus|Passeriformes|Thraupidae|Coryphospingus|pileatus|559524|Avian
coscoroba swan|Coscoroba coscoroba|Anseriformes|Anatidae|Coscoroba|coscoroba|175200|Avian
white-crowned robin-chat|Cossypha albicapillus|Passeriformes|Muscicapidae|Cossypha|albicapillus|916321|Avian
snowy-crowned robin-chat|Cossypha niveicapilla|Passeriformes|Muscicapidae|Cossypha|niveicapilla|559540|Avian
blue-breasted quail|Coturnix chinensis|Galliformes|Phasianidae|Coturnix|chinensis|176009|Avian
common quail|Coturnix coturnix|Galliformes|Phasianidae|Coturnix|coturnix|553871|Avian
Japanese quail|Coturnix japonica|Galliformes|Phasianidae|Coturnix|japonica|176013|Avian
quail|Coturnix sp.|Galliformes|Phasianidae|Coturnix|Unknown|176008|Avian
Australian magpie|Cracticus tibicen|Passeriformes|Cracticidae|Cracticus|tibicen|NA|Avian
blue-knobbed curassow|Crax alberti|Galliformes|Cracidae|Crax|alberti|175757|Avian
great curassow|Crax rubra|Galliformes|Cracidae|Crax|rubra|175765|Avian
corn crake|Crex crex|Gruiformes|Rallidae|Crex|crex|176277|Avian
red-tailed bulbul|Criniger calurus|Passeriformes|Pycnonotidae|Criniger|calurus|559586|Avian
red-tailed greenbul|Criniger calurus|Passeriformes|Pycnonotidae|Criniger|calurus|559586|Avian
eastern bearded greenbul|Criniger chloronotus|Passeriformes|Pycnonotidae|Criniger|chloronotus|559587|Avian
green-backed bulbul|Criniger chloronotus|Passeriformes|Pycnonotidae|Criniger|chloronotus|559587|Avian
bicolored shrew|Crocidura leucodon|Soricomorpha|Soricidae|Crocidura|leucodon|633616|Non-human Mammal
Nile crocodile|Crocodylus niloticus|Crocodilia|Crocodylidae|Crocodylus|niloticus|202200|Other
smooth-billed ani|Crotophaga ani|Cuculiformes|Cuculidae|Crotophaga|ani|177838|Avian
groove-billed ani|Crotophaga sulcirostris|Cuculiformes|Cuculidae|Crotophaga|sulcirostris|177839|Avian
racket-tailed treepie|Crypsirina temia|Passeriformes|Corvidae|Crypsirina|temia|559594|Avian
common cuckoo|Cuculus canorus|Cuculiformes|Cuculidae|Cuculus|canorus|177822|Avian
blue tit|Cyanistes caeruleus|Passeriformes|Paridae|Cyanistes|caeruleus|559612|Avian
azure tit|Cyanistes cyanus|Passeriformes|Paridae|Cyanistes|cyanus|559613|Avian
blue jay|Cyanocitta cristata|Passeriformes|Corvidae|Cyanocitta|cristata|179680|Avian
Steller's Jay|Cyanocitta stelleri|Passeriformes|Corvidae|Cyanocitta|stelleri|179685|Avian
olive sunbird|Cyanomitra olivacea|Passeriformes|Nectariniidae|Cyanomitra|olivacea|916402|Avian
green-headed sunbird|Cyanomitra verticalis|Passeriformes|Nectariniidae|Cyanomitra|verticalis|916397|Avian
azure-winged magpie|Cyanopica cyanus|Passeriformes|Corvidae|Cyanopica|cyanus|916623|Avian
blue-and-white flycatcher|Cyanoptila cyanomelana|Passeriformes|Muscicapidae|Cyanoptila|cyanomelana|559646|Avian
black swan|Cygnus atratus|Anseriformes|Anatidae|Cygnus|atratus|553906|Avian
trumpeter swan|Cygnus buccinator|Anseriformes|Anatidae|Cygnus|buccinator|174992|Avian
tundra swan|Cygnus columbianus|Anseriformes|Anatidae|Cygnus|columbianus|174987|Avian
Bewick swan|Cygnus columbianus bewickii|Anseriformes|Anatidae|Cygnus|columbianus bewickii|714735|Avian
whooper swan|Cygnus cygnus|Anseriformes|Anatidae|Cygnus|cygnus|174990|Avian
black-necked swan|Cygnus melancoryphus|Anseriformes|Anatidae|Cygnus|melancoryphus|174991|Avian
mute swan|Cygnus olor|Anseriformes|Anatidae|Cygnus|olor|174985|Avian
swan|Cygnus sp.|Anseriformes|Anatidae|Cygnus|Unknown|174984|Avian
tundra swan|Cygnus sp.|Anseriformes|Anatidae|Cygnus|Unknown|NA|Avian
lesser short-nosed fruit bat|Cynopterus brachyotis|Chiroptera|Pteropodidae|Cynopterus|brachyotis|631552|Non-human Mammal
greater short-nosed fruit bat|Cynopterus sphinx|Chiroptera|Pteropodidae|Cynopterus|sphinx|631555|Non-human Mammal
Hainan blue flycatcher|Cyornis hainanus|Passeriformes|Muscicapidae|Cyornis|hainanus|559655|Avian
Asian palm swift|Cypsiurus balasiensis|Apodiformes|Apodidae|Cypsiurus|balasiensis|555002|Avian
hooded seal|Cystophora cristata|Carnivora|Phocidae|Cystophora|cristata|180657|Non-human Mammal
agouti|Dasyprocta sp.|Rodentia|Dasyproctidae|Dasyprocta|Unknown|584623|Non-human Mammal
scarlet-tufted sunbird|Deleornis fraseri|Passeriformes|Nectariniidae|Deleornis|fraseri|916382|Avian
Beluga|Delphinapterus leucas|Cetacea|Monodontidae|Delphinapterus|leucas|180483|Non-human Mammal
dolphin|Delphinidae|Cetacea|Delphinidae|Unknown|Unknown|180415|Non-human Mammal
short-beaked common dolphin|Delphinus delphis|Cetacea|Delphinidae|Delphinus|delphis|180438|Non-human Mammal
dolphin|Delphinus sp.|Cetacea|Delphinidae|Delphinus|Unknown|180437|Non-human Mammal
plain-brown woodcreeper|Dendrocincla fuliginosa|Passeriformes|Furnariidae|Dendrocincla|fuliginosa|559695|Avian
white-backed woodpecker|Dendrocopos leucotos|Piciformes|Picidae|Dendrocopos|leucotos|554047|Avian
lesser spotted woodpecker|Dendrocopos minor|Piciformes|Picidae|Dendrocopos|minor|554037|Avian
black-bellied whistling-duck|Dendrocygna autumnalis|Anseriformes|Anatidae|Dendrocygna|autumnalis|175044|Avian
fulvous whistling-duck|Dendrocygna bicolor|Anseriformes|Anatidae|Dendrocygna|bicolor|175046|Avian
plumed whistling duck|Dendrocygna eytoni|Anseriformes|Anatidae|Dendrocygna|eytoni|175050|Avian
lesser whistling-duck|Dendrocygna javanica|Anseriformes|Anatidae|Dendrocygna|javanica|175052|Avian
whistling-duck|Dendrocygna sp.|Anseriformes|Anatidae|Dendrocygna|Unknown|175043|Avian
white-faced whistling-duck|Dendrocygna viduata|Anseriformes|Anatidae|Dendrocygna|viduata|175053|Avian
Gabon woodpecker|Dendropicos gabonensis|Piciformes|Picidae|Dendropicos|gabonensis|554014|Avian
speckle-breasted woodpecker|Dendropicos poecilolaemus|Piciformes|Picidae|Dendropicos|poecilolaemus|554010|Avian
plain flowerpecker|Dicaeum concolor|Passeriformes|Dicaeidae|Dicaeum|concolor|559726|Avian
hair-crested drongo|Dicrurus hottentottus|Passeriformes|Dicruridae|Dicrurus|hottentottus|559767|Avian
square-tailed drongo|Dicrurus ludwigii|Passeriformes|Dicruridae|Dicrurus|ludwigii|559769|Avian
black drongo|Dicrurus macrocercus|Passeriformes|Dicruridae|Dicrurus|macrocercus|179656|Avian
velvet-mantled drongo|Dicrurus modestus|Passeriformes|Dicruridae|Dicrurus|modestus|559771|Avian
Virginia opossum|Didelphis virginiana|Didelphimorphia|Didelphidae|Didelphis|virginiana|179921|Non-human Mammal
flame-backed woodpecker|Dinopium javanense|Piciformes|Picidae|Dinopium|javanense|554150|Avian
Wagner's dipodil|Dipodillus dasyurus|Rodentia|Muridae|Dipodillus|dasyurus|970775|Non-human Mammal
melodious blackbird|Dives dives|Passeriformes|Icteridae|Dives|dives|559803|Avian
bobolink|Dolichonyx oryzivorus|Passeriformes|Icteridae|Dolichonyx|oryzivorus|179032|Avian
emu|Dromaius novaehollandiae|Struthioniformes|Dromaiidae|Dromaius|novaehollandiae|174385|Avian
pileated woodpecker|Dryocopus pileatus|Piciformes|Picidae|Dryocopus|pileatus|178166|Avian
gray catbird|Dumetella carolinensis|Passeriformes|Mimidae|Dumetella|carolinensis|178625|Avian
black bittern|Dupetor flavicollis|Pelecaniformes|Ardeidae|Dupetor|flavicollis|174887|Avian
plain antvireo|Dysithamnus mentalis|Passeriformes|Thamnophilidae|Dysithamnus|mentalis|559838|Avian
little egret|Egretta garzetta|Pelecaniformes|Ardeidae|Egretta|garzetta|174816|Avian
western reef heron|Egretta gularis|Pelecaniformes|Ardeidae|Egretta|gularis|174822|Avian
intermediate egret|Egretta intermedia|Pelecaniformes|Ardeidae|Egretta|intermedia|174823|Avian
white-faced heron|Egretta novaehollandiae|Pelecaniformes|Ardeidae|Egretta|novaehollandiae|559845|Avian
snowy egret|Egretta thula|Pelecaniformes|Ardeidae|Egretta|thula|174813|Avian
yellow-bellied elaenia|Elaenia flavogaster|Passeriformes|Tyrannidae|Elaenia|flavogaster|559852|Avian
black-shouldered kite|Elanus caeruleus|Accipitriformes|Accipitridae|Elanus|caeruleus|175284|Avian
Asian garden dormouse|Eliomys melanurus|Rodentia|Gliridae|Eliomys|melanurus|584969|Non-human Mammal
African blue-flycatcher|Elminia longicauda|Passeriformes|Stenostiridae|Elminia|longicauda|559866|Avian
dusky crested-flycatcher|Elminia nigromitrata|Passeriformes|Stenostiridae|Elminia|nigromitrata|916766|Avian
black-fronted dotterel|Elseyornis melanops|Charadriiformes|Charadriidae|Elseyornis|melanops|559867|Avian
yellow-breasted bunting|Emberiza aureola|Passeriformes|Emberizidae|Emberiza|aureola|554225|Avian
yellow-browed bunting|Emberiza chrysophrys|Passeriformes|Emberizidae|Emberiza|chrysophrys|559874|Avian
meadow bunting|Emberiza cioides|Passeriformes|Emberizidae|Emberiza|cioides|559877|Avian
chestnut-eared bunting|Emberiza fucata|Passeriformes|Emberizidae|Emberiza|fucata|559881|Avian
Pallas's bunting|Emberiza pallasi|Passeriformes|Emberizidae|Emberiza|pallasi|179541|Avian
chestnut bunting|Emberiza rutila|Passeriformes|Emberizidae|Emberiza|rutila|559888|Avian
reed bunting|Emberiza schoeniclus|Passeriformes|Emberizidae|Emberiza|schoeniclus|179543|Avian
black-faced bunting|Emberiza spodocephala|Passeriformes|Emberizidae|Emberiza|spodocephala|559890|Avian
cinnamon-breasted bunting|Emberiza tahapisi|Passeriformes|Emberizidae|Emberiza|tahapisi|559894|Avian
alder flycatcher|Empidonax alnorum|Passeriformes|Tyrannidae|Empidonax|alnorum|178340|Avian
Pacific-slope flycatcher|Empidonax difficilis|Passeriformes|Tyrannidae|Empidonax|difficilis|178348|Avian
yellow-bellied flycatcher|Empidonax flaviventris|Passeriformes|Tyrannidae|Empidonax|flaviventris|178338|Avian
Hammond's flycatcher|Empidonax hammondii|Passeriformes|Tyrannidae|Empidonax|hammondii|554254|Avian
least flycatcher|Empidonax minimus|Passeriformes|Tyrannidae|Empidonax|minimus|178344|Avian
dusky flycatcher|Empidonax oberholseri|Passeriformes|Tyrannidae|Empidonax|oberholseri|178346|Avian
flycatcher|Empidonax sp.|Passeriformes|Tyrannidae|Empidonax|Unknown|178337|Avian
willow flycatcher|Empidonax traillii|Passeriformes|Tyrannidae|Empidonax|traillii|178341|Avian
Acadian flycatcher|Empidonax virescens|Passeriformes|Tyrannidae|Empidonax|virescens|178339|Avian
grey flycatcher|Empidonax wrightii|Passeriformes|Tyrannidae|Empidonax|wrightii|178347|Avian
sea otter|Enhydra lutris|Carnivora|Mustelidae|Enhydra|lutris|180547|Non-human Mammal
northern sea otter|Enhydra lutris kenyoni|Carnivora|Mustelidae|Enhydra|lutris kenyoni|622038|Non-human Mammal
southern sea otter|Enhydra lutris nereis|Carnivora|Mustelidae|Enhydra|lutris nereis|202390|Non-human Mammal
slender-billed parakeet|Enicognathus leptorhynchus|Psittaciformes|Psittacidae|Enicognathus|leptorhynchus|177721|Avian
white-crowned forktail|Enicurus leschenaulti|Passeriformes|Muscicapidae|Enicurus|leschenaulti|559911|Avian
slaty-backed forktail|Enicurus schistaceus|Passeriformes|Muscicapidae|Enicurus|schistaceus|559914|Avian
duck|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
lesser whistling-duck|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
poultry|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
U|ENV|Unknown|Unknown|Unknown|Unknown|NA|Other
waterfowl|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
wild aquatic bird|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
wild bird|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
yellow-billed teal|ENV|Unknown|Unknown|Unknown|Unknown|NA|Avian
galah|Eolophus roseicapilla|Psittaciformes|Cacatuidae|Eolophus|roseicapilla|714023|Avian
diminutive serotine|Eptesicus diminutus|Chiroptera|Vespertilionidae|Eptesicus|diminutus|631950|Non-human Mammal
Argentinian brown bat|Eptesicus furinalis|Chiroptera|Vespertilionidae|Eptesicus|furinalis|631954|Non-human Mammal
big brown bat|Eptesicus fuscus|Chiroptera|Vespertilionidae|Eptesicus|fuscus|180008|Non-human Mammal
Meridional serotine bat|Eptesicus serotinus isabellinus|Chiroptera|Vespertilionidae|Eptesicus|serotinus isabellinus|948404|Non-human Mammal
donkey|Equus asinus|Perissodactyla|Equidae|Equus|asinus|180690|Non-human Mammal
mule|Equus asinus x Equus caballus|Perissodactyla|Equidae|Equus|asinus|NA|Non-human Mammal
horse|Equus caballus|Perissodactyla|Equidae|Equus|caballus|180691|Non-human Mammal
Russian wild horse|Equus ferus|Perissodactyla|Equidae|Equus|ferus|926143|Non-human Mammal
equine|Equus sp.|Perissodactyla|Equidae|Equus|Unknown|180689|Non-human Mammal
rufous-crowned eremomela|Eremomela badiceps|Passeriformes|Cisticolidae|Eremomela|badiceps|559942|Avian
porcupine|Erethizon dorsatus|Rodentia|Erethizontidae|Erethizon|dorsatus|825295|Non-human Mammal
bearded seal|Erignathus barbatus|Carnivora|Phocidae|Erignathus|barbatus|180655|Non-human Mammal
robin|Erithacus rubecula|Passeriformes|Muscicapidae|Erithacus|rubecula|559964|Avian
white-bellied yuhina|Erpornis zantholeuca|Passeriformes|Vireonidae|Erpornis|zantholeuca|916183|Avian
red-kneed dotterel|Erythrogonys cinctus|Charadriiformes|Charadriidae|Erythrogonys|cinctus|554257|Avian
gray whale|Eschrichtius robustus|Cetacea|Eschrichtiidae|Eschrichtius|robustus|180521|Non-human Mammal
black-headed waxbill|Estrilda atricapilla|Passeriformes|Estrildidae|Estrilda|atricapilla|559980|Avian
orange-cheeked waxbill|Estrilda melpoda|Passeriformes|Estrildidae|Estrilda|melpoda|179612|Avian
black-crowned waxbill|Estrilda nonnula|Passeriformes|Estrildidae|Estrilda|nonnula|559986|Avian
fawn-breasted waxbill|Estrilda paludicola|Passeriformes|Estrildidae|Estrilda|paludicola|559988|Avian
black-rumped waxbill|Estrilda troglodytes|Passeriformes|Estrildidae|Estrilda|troglodytes|179613|Avian
white ibis|Eudocimus albus|Pelecaniformes|Threskiornithidae|Eudocimus|albus|174930|Avian
Asian koel|Eudynamys scolopaceus|Cuculiformes|Cuculidae|Eudynamys|scolopaceus|705305|Avian
koel|Eudynamys sp.|Cuculiformes|Cuculidae|Eudynamys|Unknown|553631|Avian
Steller sea lion|Eumetopias jubatus|Carnivora|Otariidae|Eumetopias|jubatus|180625|Non-human Mammal
turquoise-browed motmot|Eumomota superciliosa|Coraciiformes|Momotidae|Eumomota|superciliosa|554539|Avian
dwarf bonneted bat|Eumops bonariensis|Chiroptera|Molossidae|Eumops|bonariensis|632205|Non-human Mammal
Patagonian dwarf bonneted bat|Eumops patagonicus|Chiroptera|Molossidae|Eumops|patagonicus|946099|Non-human Mammal
Indian silverbill|Euodice malabarica|Passeriformes|Estrildidae|Euodice|malabarica|916655|Avian
rusty blackbird|Euphagus carolinus|Passeriformes|Icteridae|Euphagus|carolinus|179091|Avian
yellow-throated euphonia|Euphonia hirundinacea|Passeriformes|Fringillidae|Euphonia|hirundinacea|560021|Avian
fan-tailed widowbird|Euplectes axillaris|Passeriformes|Ploceidae|Euplectes|axillaris|560038|Avian
black-winged bishop|Euplectes hordeaceus|Passeriformes|Ploceidae|Euplectes|hordeaceus|560043|Avian
euplectes|Euplectes sp.|Passeriformes|Ploceidae|Euplectes|Unknown|179632|Avian
white-bellied bustard|Eupodotis senegalensis|Gruiformes|Otididae|Eupodotis|senegalensis|176441|Avian
plain greenbul|Eurillas curvirostris|Passeriformes|Pycnonotidae|Eurillas|curvirostris|916219|Avian
gray greenbul|Eurillas gracilis|Passeriformes|Pycnonotidae|Eurillas|gracilis|916217|Avian
yellow-whiskered greenbul|Eurillas latirostris|Passeriformes|Pycnonotidae|Eurillas|latirostris|916220|Avian
little greenbul|Eurillas virens|Passeriformes|Pycnonotidae|Eurillas|virens|916216|Avian
great eared nightjar|Eurostopodus macrotis|Caprimulgiformes|Caprimulgidae|Eurostopodus|macrotis|555537|Avian
spoon-billed sandpiper|Eurynorhynchus pygmeus|Charadriiformes|Scolopacidae|Eurynorhynchus|pygmeus|176697|Avian
Dybowski's twinspot|Euschistospiza dybowskii|Passeriformes|Estrildidae|Euschistospiza|dybowskii|560064|Avian
saker falcon|Falco cherrug|Falconiformes|Falconidae|Falco|cherrug|175633|Avian
Merlin|Falco columbarius|Falconiformes|Falconidae|Falco|columbarius|175613|Avian
aplomado falcon|Falco femoralis|Falconiformes|Falconidae|Falco|femoralis|175610|Avian
peregrine falcon|Falco peregrinus|Falconiformes|Falconidae|Falco|peregrinus|175604|Avian
gyrfalcon|Falco rusticolus|Falconiformes|Falconidae|Falco|rusticolus|175599|Avian
American kestrel|Falco sparverius|Falconiformes|Falconidae|Falco|sparverius|175622|Avian
common kestrel|Falco tinnunculus|Falconiformes|Falconidae|Falco|tinnunculus|175620|Avian
falcon|Falconidae|Falconiformes|Falconidae|Unknown|Unknown|175593|Avian
cat|Felis catus|Carnivora|Felidae|Felis|catus|183798|Non-human Mammal
taiga flycatcher|Ficedula albicilla|Passeriformes|Muscicapidae|Ficedula|albicilla|916368|Avian
slaty-backed flycatcher|Ficedula hodgsonii|Passeriformes|Muscicapidae|Ficedula|hodgsonii|560079|Avian
European pied flycatcher|Ficedula hypoleuca|Passeriformes|Muscicapidae|Ficedula|hypoleuca|560081|Avian
red-breasted flycatcher|Ficedula parva|Passeriformes|Muscicapidae|Ficedula|parva|178675|Avian
double-spurred francolin|Francolinus bicalcaratus|Galliformes|Phasianidae|Francolinus|bicalcaratus|175966|Avian
Clapperton's francolin|Francolinus clappertoni|Galliformes|Phasianidae|Francolinus|clappertoni|175970|Avian
black francolin|Francolinus francolinus|Galliformes|Phasianidae|Francolinus|francolinus|175974|Avian
Chinese francolin|Francolinus pintadeanus|Galliformes|Phasianidae|Francolinus|pintadeanus|553831|Avian
grey francolin|Francolinus pondicerianus|Galliformes|Phasianidae|Francolinus|pondicerianus|175992|Avian
white-browed forest-flycatcher|Fraseria cinerascens|Passeriformes|Muscicapidae|Fraseria|cinerascens|560116|Avian
Atlantic puffin|Fratercula arctica|Charadriiformes|Alcidae|Fratercula|arctica|177025|Avian
tufted puffin|Fratercula cirrhata|Charadriiformes|Alcidae|Fratercula|cirrhata|177032|Avian
horned puffin|Fratercula corniculata|Charadriiformes|Alcidae|Fratercula|corniculata|177029|Avian
finch|Fringillidae|Passeriformes|Fringillidae|Unknown|Unknown|179122|Avian
American coot|Fulica americana|Gruiformes|Rallidae|Fulica|americana|176292|Avian
red-gartered coot|Fulica armillata|Gruiformes|Rallidae|Fulica|armillata|176294|Avian
common coot|Fulica atra|Gruiformes|Rallidae|Fulica|atra|176290|Avian
Eurasian coot|Fulica atra|Gruiformes|Rallidae|Fulica|atra|176290|Avian
white-winged coot|Fulica leucoptera|Gruiformes|Rallidae|Fulica|leucoptera|176299|Avian
red-fronted coot|Fulica rufifrons|Gruiformes|Rallidae|Fulica|rufifrons|176300|Avian
northern fulmar|Fulmarus glacialis|Procellariiformes|Procellariidae|Fulmarus|glacialis|174536|Avian
rufous hornero|Furnarius rufus|Passeriformes|Furnariidae|Furnarius|rufus|560127|Avian
watercock|Gallicrex cinerea|Gruiformes|Rallidae|Gallicrex|cinerea|560140|Avian
Wilson's snipe|Gallinago delicata|Charadriiformes|Scolopacidae|Gallinago|delicata|726048|Avian
common snipe|Gallinago gallinago|Charadriiformes|Scolopacidae|Gallinago|gallinago|176700|Avian
great snipe|Gallinago media|Charadriiformes|Scolopacidae|Gallinago|media|176704|Avian
South American snipe|Gallinago paraguaiae|Charadriiformes|Scolopacidae|Gallinago|paraguaiae|560142|Avian
snipe|Gallinago sp.|Charadriiformes|Scolopacidae|Gallinago|Unknown|176698|Avian
pin-tailed snipe|Gallinago stenura|Charadriiformes|Scolopacidae|Gallinago|stenura|176710|Avian
lesser moorhen|Gallinula angulata|Gruiformes|Rallidae|Gallinula|angulata|176287|Avian
common moorhen|Gallinula chloropus|Gruiformes|Rallidae|Gallinula|chloropus|176284|Avian
moorhen|Gallinula sp.|Gruiformes|Rallidae|Gallinula|Unknown|176283|Avian
black-tailed nativehen|Gallinula ventralis|Gruiformes|Rallidae|Gallinula|ventralis|560148|Avian
slaty-breasted rail|Gallirallus striatus|Gruiformes|Rallidae|Gallirallus|striatus|560160|Avian
chicken|Gallus gallus|Galliformes|Phasianidae|Gallus|gallus|NA|Avian
red junglefowl|Gallus gallus|Galliformes|Phasianidae|Gallus|gallus|176086|Avian
chicken|Gallus gallus domesticus|Galliformes|Phasianidae|Gallus|gallus domesticus|NA|Avian
domestic chicken|Gallus gallus domesticus|Galliformes|Phasianidae|Gallus|gallus domesticus|NA|Avian
domestic chicken|Gallus gallus gallus|Galliformes|Phasianidae|Gallus|gallus gallus|678002|Avian
Eurasian jay|Garrulus glandarius|Passeriformes|Corvidae|Garrulus|glandarius|560214|Avian
white-billed diver|Gavia adamsii|Gaviiformes|Gaviidae|Gavia|adamsii|174470|Avian
Arctic loon|Gavia arctica|Gaviiformes|Gaviidae|Gavia|arctica|174471|Avian
common loon|Gavia immer|Gaviiformes|Gaviidae|Gavia|immer|174469|Avian
Pacific loon|Gavia pacifica|Gaviiformes|Gaviidae|Gavia|pacifica|174475|Avian
red-throated diver|Gavia stellata|Gaviiformes|Gaviidae|Gavia|stellata|174474|Avian
gull-billed tern|Gelochelidon nilotica|Charadriiformes|Sternidae|Gelochelidon|nilotica|176882|Avian
diamond dove|Geopelia cuneata|Columbiformes|Columbidae|Geopelia|cuneata|177194|Avian
zebra dove|Geopelia striata|Columbiformes|Columbidae|Geopelia|striata|177196|Avian
Kentucky warbler|Geothlypis formosa|Passeriformes|Parulidae|Geothlypis|formosa|950025|Avian
Macgillivray's warbler|Geothlypis tolmiei|Passeriformes|Parulidae|Geothlypis|tolmiei|950023|Avian
common yellowthroat|Geothlypis trichas|Passeriformes|Parulidae|Geothlypis|trichas|178944|Avian
black-chested buzzard-eagle|Geranoaetus melanoleucus|Accipitriformes|Accipitridae|Geranoaetus|melanoleucus|175554|Avian
Cheesman's gerbil|Gerbillus cheesmani|Rodentia|Muridae|Gerbillus|cheesmani|632927|Non-human Mammal
Baluchistan gerbil|Gerbillus nanus|Rodentia|Muridae|Gerbillus|nanus|632954|Non-human Mammal
small pratincole|Glareola lactea|Charadriiformes|Glareolidae|Glareola|lactea|176772|Avian
Oriental pratincole|Glareola maldivarum|Charadriiformes|Glareolidae|Glareola|maldivarum|176773|Avian
collared pratincole|Glareola pratincola|Charadriiformes|Glareolidae|Glareola|pratincola|176777|Avian
ferruginous pygmy owl|Glaucidium brasilianum|Strigiformes|Strigidae|Glaucidium|brasilianum|177908|Avian
collared owlet|Glaucidium brodiei|Strigiformes|Strigidae|Glaucidium|brodiei|555446|Avian
Asian barred owlet|Glaucidium cuculoides|Strigiformes|Strigidae|Glaucidium|cuculoides|555461|Avian
short-finned pilot whale|Globicephala macrorhynchus|Cetacea|Delphinidae|Globicephala|macrorhynchus|180466|Non-human Mammal
long-finned pilot whale|Globicephala melas|Cetacea|Delphinidae|Globicephala|melas|552461|Non-human Mammal
hill myna|Gracula religiosa|Passeriformes|Sturnidae|Gracula|religiosa|179652|Avian
pied myna|Gracupica contra|Passeriformes|Sturnidae|Gracupica|contra|915879|Avian
black-collared starling|Gracupica nigricollis|Passeriformes|Sturnidae|Gracupica|nigricollis|915878|Avian
crane|Gruidae|Gruiformes|Gruidae|Unknown|Unknown|176174|Avian
sarus crane|Grus antigone|Gruiformes|Gruidae|Grus|antigone|176181|Avian
sandhill crane|Grus canadensis|Gruiformes|Gruidae|Grus|canadensis|176177|Avian
black-necked crane|Grus nigricollis|Gruiformes|Gruidae|Grus|nigricollis|176187|Avian
yellow cardinal|Gubernatrix cristata|Passeriformes|Emberizidae|Gubernatrix|cristata|560325|Avian
Australian magpie|Gymnorhina tibicen|Passeriformes|Cracticidae|Gymnorhina|tibicen|560338|Avian
white-rumped vulture|Gyps bengalensis|Accipitriformes|Accipitridae|Gyps|bengalensis|175485|Avian
slender-billed vulture|Gyps tenuirostris|Accipitriformes|Accipitridae|Gyps|tenuirostris|824059|Avian
oystercatcher|Haematopodidae|Charadriiformes|Haematopodidae|Unknown|Unknown|176467|Avian
blackish oystercatcher|Haematopus ater|Charadriiformes|Haematopodidae|Haematopus|ater|176476|Avian
black oystercatcher|Haematopus bachmani|Charadriiformes|Haematopodidae|Haematopus|bachmani|176475|Avian
sooty oystercatcher|Haematopus fuliginosus|Charadriiformes|Haematopodidae|Haematopus|fuliginosus|176477|Avian
Magellanic oystercatcher|Haematopus leucopodus|Charadriiformes|Haematopodidae|Haematopus|leucopodus|176478|Avian
pied oystercatcher|Haematopus longirostris|Charadriiformes|Haematopodidae|Haematopus|longirostris|560351|Avian
