#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
California sea lion|Zalophus californianus|Carnivora|Otariidae|Zalophus|californianus|180621|Non-human Mammal
Galapagos sea lion|Zalophus wollebaeki|Carnivora|Otariidae|Zalophus|wollebaeki|622014|Non-human Mammal
white-winged dove|Zenaida asiatica|Columbiformes|Columbidae|Zenaida|asiatica|177121|Avian
western white-winged dove|Zenaida asiatica mearnsi|Columbiformes|Columbidae|Zenaida|asiatica mearnsi|177123|Avian
eared dove|Zenaida auriculata|Columbiformes|Columbidae|Zenaida|auriculata|177129|Avian
mourning dove|Zenaida macroura|Columbiformes|Columbidae|Zenaida|macroura|177125|Avian
white-throated sparrow|Zonotrichia albicollis|Passeriformes|Emberizidae|Zonotrichia|albicollis|179462|Avian
golden-crowned sparrow|Zonotrichia atricapilla|Passeriformes|Emberizidae|Zonotrichia|atricapilla|179461|Avian
rufous-collared sparrow|Zonotrichia capensis|Passeriformes|Emberizidae|Zonotrichia|capensis|563779|Avian
white-crowned sparrow|Zonotrichia leucophrys|Passeriformes|Emberizidae|Zonotrichia|leucophrys|179455|Avian
Gambel's white-crowned sparrow|Zonotrichia leucophrys gambelii|Passeriformes|Emberizidae|Zonotrichia|leucophrys gambelii|179457|Avian
Harris's sparrow|Zonotrichia querula|Passeriformes|Emberizidae|Zonotrichia|querula|179454|Avian
Japanese white-eye|Zosterops japonicus|Passeriformes|Zosteropidae|Zosterops|japonicus|179912|Avian
Oriental white-eye|Zosterops palpebrosus|Passeriformes|Zosteropidae|Zosterops|palpebrosus|563865|Avian
African yellow white-eye|Zosterops senegalensis|Passeriformes|Zosteropidae|Zosterops|senegalensis|563872|Avian
eastern whip-poor-will|Antrostomus vociferus|Caprimulgiformes|Caprimulgidae|Antrostomus|vociferus|1077358|Avian
hooded warbler|Setophaga citrina|Passeriformes|Parulidae|Setophaga|citrina|950029|Avian
Louisiana waterthrush|Parkesia motacilla|Passeriformes|Parulidae|Parkesia|motacilla|950009|Avian
short-billed gull|Larus brachyrhynchus|Charadriiformes|Laridae|Larus|brachyrhynchus|1192602|Avian
